orbital_period,transit_epoch,transit_duration,transit_depth,planet_radius,disposition,dataset
3.504691252,133.511941,1.9811,315.1,2.03,0,KOI
86.67856052,175.597013,10.1289,8244.1,9.83,0,KOI
12.21828097,140.321095,2.6969,1843.4,5.1,0,KOI
64.617518,166.14425,5.796,2486.6,5.4,0,KOI
13.21409607,140.58492,3.5641,1154.8,2.77,0,KOI
6.05729966,135.92756,3.7419,385.2,1.94,0,KOI
3.584101048,170.427829,2.7316,2608.1,4.66,0,KOI
1.763587535,120.5659254,3.16877,4590.6,21.42,0,KOI
5.014234733,133.174289,4.589,6536.0,10.63,0,KOI
8.11528727,174.52257,3.211,834.9,3.1,0,KOI
36.9250409,174.22246,4.9381,902.0,3.01,0,KOI
32.3122867,133.867,6.569,677.8,4.84,0,KOI
9.22961384,138.43961,2.235,492.1,2.79,0,KOI
14.5598556,135.95038,5.624,290.6,1.64,0,KOI
4.176254191,133.090415,3.6716,1360.1,3.07,0,KOI
6.10027621,135.58656,4.7476,766.6,2.59,0,KOI
51.59809554,203.979914,2.0153,5869.2,6.57,1,KOI
1500.0,315.33083,7.109,9592.0,9.8,1,KOI
8.408878137,134.006366,3.4967,798.9,2.28,0,KOI
10.93725572,136.98549,3.0822,421.6,2.41,0,KOI
2.97136658,134.38662,2.716,233.3,1.52,0,KOI
158.6850022,173.94993,11.5372,898.3,3.08,0,KOI
2.936527336,135.71829,1.771,352.3,1.92,0,KOI
7.03902016,175.73059,3.8633,529.8,2.45,0,KOI
8.360870704,175.64459,2.7144,2039.7,3.67,0,KOI
21.76129812,166.540438,1.243,1300.7,2.53,0,KOI
1500.1406772,176.08226,25.727,4129.9,18.35,1,KOI
161.5278347,198.00137,3.6734,4653.6,8.19,0,KOI
11.39102358,137.70864,2.303,448.6,1.67,0,KOI
12.33343853,137.58782,6.221,536.4,4.12,0,KOI
8.01500821,134.8277,3.0137,363.0,2.0,0,KOI
7.053934488,136.357253,1.7244,511.5,2.36,0,KOI
4.29263699,134.80018,2.7,61.4,0.68,0,KOI
7.6746614,133.22431,1.9374,503.0,2.8,0,KOI
1.213770423,170.483645,0.5532,1821.0,0.78,0,KOI
0.453287416,133.869741,0.4445,1461.5,0.76,0,KOI
1.865114193,133.792344,0.4279,1124.8,0.66,0,KOI
36.7704935,164.29112,4.42,1346.6,2.83,0,KOI
14.58932429,141.93498,2.4184,831.3,2.32,0,KOI
0.764017553,132.2214,1.103,128.2,0.86,0,KOI
59.8780258,151.1847,4.8027,1419.1,2.19,0,KOI
20.51360192,357.49424,3.4769,1174.1,2.58,1,KOI
74.92768653,124.99266,4.74,4119.2,6.39,0,KOI
150.0189511,224.685714,4.3823,4319.7,32.6,0,KOI
2.613020421,133.11283,1.9588,599.7,1.5,0,KOI
0.927859786,133.905978,1.4279,515.3,1.79,0,KOI
205.912735,252.74129,9.992,2378.8,4.68,0,KOI
7.10695741,138.32271,5.1462,131.0,1.72,0,KOI
0.783276173,355.94865,1.6735,264.7,1.98,1,KOI
