orbital_period,transit_duration,transit_depth,planet_radius,radius_ratio,stellar_teff,stellar_radius,stellar_mass,insolation_flux,teq,label,mission
3.709870784,3.0694,2020.3,4.35,0.040686,5727.0,0.978,1.013,415.1,1151.0,CONFIRMED,Kepler
16.3297527,6.271,1187.5,3.75,0.034822,5878.0,0.987,0.989,66.08,727.0,CONFIRMED,Kepler
27.807566216,4.21587,25391.0,13.84,0.161479,5862.0,0.785,0.865,22.24,554.0,CONFIRMED,Kepler
80.8723469,11.195,3604.6,7.59,0.056129,5510.0,1.238,0.932,9.88,452.0,CONFIRMED,Kepler
3.166465862,2.9381,4357.2,26.82,0.348902,4968.0,0.704,0.68,196.31,954.0,FALSE POSITIVE,Kepler
24.99324319,5.9409,269.6,2.29,0.015956,5718.0,1.317,0.961,60.88,712.0,CONFIRMED,Kepler
10.35533116,3.1775,750.6,2.47,0.024674,5501.0,0.918,0.891,86.22,777.0,CONFIRMED,Kepler
16.08518937,3.984,1442.4,3.68,0.040767,5239.0,0.826,0.83,33.43,613.0,CONFIRMED,Kepler
235.9986399,8.2284,20715.0,10.59,0.14756,4245.0,0.657,0.666,0.29,188.0,CANDIDATE,Kepler
7.49018305,2.7297,1123.6,2.56,0.029843,5103.0,0.787,0.823,76.06,753.0,CONFIRMED,Kepler
36.2761238,4.7865,1572.6,3.03,0.035273,5103.0,0.787,0.823,9.29,445.0,CONFIRMED,Kepler
17.46087931,2.2641,812.4,2.32,0.026969,5103.0,0.787,0.823,24.6,568.0,CONFIRMED,Kepler
56.0560754,4.685,1626.0,1.94,0.036134,3593.0,0.491,0.503,0.69,233.0,CONFIRMED,Kepler
41.408316686,5.0264,22839.0,11.38,0.139516,5522.0,0.747,0.786,9.93,453.0,CONFIRMED,Kepler
39.74893077,7.3051,15179.0,14.21,0.134949,6122.0,0.964,1.041,21.87,552.0,CANDIDATE,Kepler
5.715425977,2.5242,908.1,2.47,0.027348,5237.0,0.826,0.927,123.03,850.0,CONFIRMED,Kepler
49.18394185,11.3364,1646.2,8.2,0.036501,5626.0,2.057,1.247,47.4,669.0,CONFIRMED,Kepler
20.0261412,1.611,421.2,2.28,0.025305,5237.0,0.826,0.927,23.14,559.0,CONFIRMED,Kepler
